"date","title","link","desc"
"04-02-2013","Access Midstream Partners, L.P. Announces 2013 First Quarter Financial Results Release Date and Conference Call Information","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1802123","OKLAHOMA CITY--(BUSINESS WIRE)--Apr. 1, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP) has scheduled its 2013 first
      quarter financial results to be released after the close of trading on
      the New York Stock Exchange on Tuesday, April 30, 2013. The Partnership
      has also scheduled a conference call hosted by its management team to
      discuss the results for Wednesday, May 1, 2013 at 9:00 a.m. EDT.
    

      The telephone number to access the conference call is 719-325-4783 or
      toll-free 877-627-6544. The passcode for the call is 5442373.
      We encourage those who would like to participate in the call to dial the
      access number between 8:50..."
"03-27-2013","Access Midstream Partners, L.P. Announces Pricing of Public Offering of Common Units","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1800990","OKLAHOMA CITY--(BUSINESS WIRE)--Mar. 27, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced that it has
      priced an underwritten public offering of 9,000,000 common units
      representing limited partner interests. The Partnership has granted the
      underwriters a 30-day option to purchase up to 1,350,000 additional
      common units. The common units were offered to the public at $39.86 per
      unit. The offering is expected to close on April 2, 2013, subject to
      customary closing conditions. The Partnership intends to use the net
      proceeds from the offering, including any net proceeds received from an
      exercise of the underwriters’ ..."
"03-27-2013","Access Midstream Partners, L.P. Announces Public Offering of Common Units","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1800801","OKLAHOMA CITY--(BUSINESS WIRE)--Mar. 26, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced the
      commencement of an underwritten public offering of 9,000,000 common
      units representing limited partner interests of the Partnership. The
      Partnership will also grant the underwriters a 30-day option to purchase
      up to 1,350,000 additional common units. The Partnership intends to use
      the net proceeds from this offering, including any net proceeds from the
      underwriters’ exercise of their option, for general partnership
      purposes, including repayment of amounts outstanding under the
      Partnership’s revolving credit facility.
 ..."
"02-20-2013","Access Midstream Partners, L.P. Reports Financial Results for the 2012 Fourth Quarter and Full Year","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1786495","
      Partnership Reports 2012 Fourth Quarter Adjusted EBITDA of $119
      Million and Distributable Cash Flow of $82 Million
    

      2012 Full Year Adjusted EBITDA of $478 Million and Distributable
      Cash Flow of $340 Million
    

      Partnership Affirms 2013 and 2014 EBITDA Outlook and Capital
      Program
    
    OKLAHOMA CITY--(BUSINESS WIRE)--Feb. 19, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced financial
      results for the 2012 fourth quarter and full year. The Partnership’s
      adjusted EBITDA for the 2012 fourth quarter was $119.0 million, up $9.0
      million, or 8.2%, from 2011 fourth quarter adjusted EBITDA of $110.0..."
"01-25-2013","Access Midstream Partners, L.P. Increases Distribution to $0.45 Per Unit for the 2012 Fourth Quarter","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1778006","    OKLAHOMA CITY--(BUSINESS WIRE)--Jan. 25, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP), today announced that the
      Board of Directors of its general partner declared a cash distribution
      of $0.45 per Common, Subordinated and Class C Unit for the 2012 fourth
      quarter. The fourth quarter cash distribution represents an increase of
      $0.06, or 15.4%, compared to the 2011 fourth quarter and represents an
      increase of $0.015, or 3.4%, compared to the 2012 third quarter.
    

      In addition, the Board of Directors of our general partner declared a
      distribution equal to $0.45 per unit on the Partnership’s Class B Units,
      which were rec..."
"01-09-2013","Access Midstream Partners, L.P. Announces 2012 Fourth Quarter Financial Results Release Date and Conference Call Information","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1772561","    OKLAHOMA CITY--(BUSINESS WIRE)--Jan. 8, 2013--
      Access Midstream Partners, L.P. (NYSE:ACMP) has scheduled its 2012
      fourth quarter financial results to be released after the close of
      trading on the New York Stock Exchange on Tuesday, February 19, 2013.
      The Partnership has also scheduled a conference call hosted by its
      management team to discuss the results for Wednesday, February 20, 2013
      at 9:00 a.m. EST.
    

      The telephone number to access the conference call is 913-312-0838 or
      toll-free 888-631-5913. The passcode for the call is 3709964.
      We encourage those who would like to participate in the call to dial the
      acces..."
"12-13-2012","Access Midstream Partners, L.P. Announces Upsizing and Pricing of Public Offering of Common Units","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1766835","    OKLAHOMA CITY--(BUSINESS WIRE)--Dec. 12, 2012--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced that it has
      priced an upsized underwritten public offering of 16,000,000 common
      units representing limited partner interests. The Partnership has
      granted the underwriters a 30-day option to purchase up to 2,400,000
      additional common units. The common units were offered to the public at
      $32.15 per unit. The offering is expected to close on December 18, 2012,
      subject to customary closing conditions. The Partnership intends to use
      a portion of the net proceeds from the offering, including any net
      proceeds received from an ..."
"12-13-2012","Access Midstream Partners, L.P. Announces Pricing of $1.4 Billion Offering of Senior Notes Due 2023","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1766822","    OKLAHOMA CITY--(BUSINESS WIRE)--Dec. 12, 2012--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced the pricing
      of a public offering of $1.4 billion of senior notes due 2023 (the
      “Notes”). The Notes bear interest at a rate of 4.875% per annum. The
      closing of the offering is expected to occur December 19, 2012 and is
      subject to customary closing conditions.
    

      The Partnership intends to use the net proceeds of the offering (i) to
      fund a portion of the purchase price for its pending acquisition of
      Chesapeake Midstream Operating, L.L.C., a midstream gas gathering and
      processing business owned by Chesapeake Midstream..."
"12-12-2012","Access Midstream Partners, L.P. Announces $1.4 Billion Offering of Senior Notes Due 2023","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1766454","    OKLAHOMA CITY--(BUSINESS WIRE)--Dec. 12, 2012--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced it has
      commenced a public offering of $1.4 billion of senior notes due 2023
      (the “Notes”). The Partnership intends to use the net proceeds of the
      offering (i) to fund a portion of the purchase price for its pending
      acquisition of Chesapeake Midstream Operating, L.L.C., a midstream gas
      gathering and processing business owned by Chesapeake Midstream
      Development, L.L.C., a wholly owned subsidiary of Chesapeake Energy
      Corporation (ii) to repay a portion of the outstanding balance under our
      revolving credit facility and (iii..."
"12-12-2012","Access Midstream Partners, L.P. Announces Public Offering of Common Units","http://phx.corporate-ir.net/phoenix.zhtml?c=235260&p=RssLanding&cat=news&id=1766453","    OKLAHOMA CITY--(BUSINESS WIRE)--Dec. 12, 2012--
      Access Midstream Partners, L.P. (NYSE:ACMP) today announced the
      commencement of an underwritten public offering of 13,750,000 common
      units representing limited partner interests of the Partnership. The
      Partnership will also grant the underwriters a 30-day option to purchase
      up to 2,062,500 additional common units. The Partnership intends to use
      the net proceeds from this offering, including any net proceeds from the
      underwriters’ exercise of their option, to fund a portion of the
      purchase price of its pending acquisition of Chesapeake Midstream
      Operating, L.L.C., a midstream gas..."
